edge1_x,edge1_y,centerline1_x,centerline1_y,edge2_x,edge2_y,centerline2_x,centerline2_y,edge3_x,edge3_y,road_centerline_x,road_centerline_y,cumulative_distance
-0.08002917797412575,-3.797534327358157,0.9768059831537887,-4.245236394095356,1.9091883092036785,-4.409188309203678,2.7600330910974127,-4.485501784448269,3.563962834972735,-4.526861838146129,1.9091883092036785,-4.409188309203678,7.12055649513948
-0.09001769776244918,-3.796879645182832,0.9680631891128242,-4.2501010433357,1.9021022379136978,-4.416248177174268,2.754180673655911,-4.493612002587332,3.559008469449635,-4.535548750186486,1.9021022379136978,-4.416248177174268,7.130559201877601
-0.100000880452803,-3.796148071752863,0.9592961689856431,-4.254921895746209,1.8949900605595773,-4.4232817449298505,2.748304424825541,-4.5017049703900796,3.55403293022312,-4.544223552082713,1.8949900605595773,-4.4232817449298505,7.140561908615721
-0.1099781341479782,-3.7953396504428207,0.950505142169685,-4.259698830683531,1.88785187475487,-4.430288915935778,2.742404395452338,-4.509780617829641,3.549036246894297,-4.552886192225579,1.88785187475487,-4.430288915935778,7.150564615353842
-0.11994886730229254,-3.7944544291835447,0.9416903286631644,-4.264431728603366,1.880687778470092,-4.4372695940196945,2.7364806365881074,-4.517838875029012,3.5440184491900664,-4.561536619078214,1.880687778470092,-4.4372695940196945,7.160567322091962
-0.1299124887566629,-3.7934924604592988,0.9328519490595665,-4.269120471063451,1.8734978700313751,-4.444223683372853,2.73053319948998,-4.52587967226166,3.538979566962945,-4.5701747811764015,1.8734978700313751,-4.444223683372853,7.170570028830083
-0.13986840777365478,-3.792453801304659,0.9239902245421244,-4.273764940726531,1.8662822481191206,-4.451151088551433,2.7245621356199714,-4.533902939952136,3.5339196301908884,-4.578800627128896,1.8662822481191206,-4.451151088551433,7.180572735568203
-0.14981603407250682,-3.791338513301135,0.9151053768782853,-4.278365021363289,1.859041011766642,-4.458051714477853,2.7185674966445332,-4.541908608676666,3.5288386689771123,-4.587414105617723,1.859041011766642,-4.458051714477853,7.190575442306324
-0.1597547778641282,-3.7901466625735165,0.9061976284141599,-4.2829205978552585,1.8517742603588079,-4.464925466442071,2.71254933443411,-4.549896609163757,3.5237367135499147,-4.5960151653984855,1.8517742603588079,-4.464925466442071,7.2005781490444445
-0.16968404988606717,-3.7888783197859537,0.89726720206896,-4.287431556197703,1.8444820936306778,-4.471772250102885,2.706507701062685,-4.557866872294799,3.518613794262494,-4.604603755300673,1.8444820936306778,-4.471772250102885,7.210580855782564
-0.17960326143744693,-3.787533560137767,0.8883143213294175,-4.291897783502468,1.837164611666131,-4.478591971489229,2.700442648807337,-4.565819329104657,3.5134699415927693,-4.613179824227958,1.837164611666131,-4.478591971489229,7.220583562520685
-0.1895118244138711,-3.7861124633589887,0.8793392102441926,-4.296319168000809,1.8298219148964954,-4.485384537001465,2.694354230147781,-4.57375391078227,3.5083051861432004,-4.621743321158505,1.8298219148964954,-4.485384537001465,7.230586269258805
-0.19940915134229098,-3.7846151137056374,0.8703420934182666,-4.300695599046188,1.8224541040991684,-4.4921498534126645,2.6882424977659167,-4.58167054867125,3.503119558640603,-4.630294195145277,1.8224541040991684,-4.4921498534126645,7.240588975996925
-0.20929465541583675,-3.7830415999547196,0.8613231960073229,-4.305026967117038,1.8150612803962336,-4.4988878278698845,2.6821075045453755,-4.589569174270471,3.4979130899359676,-4.638832395316333,1.8150612803962336,-4.4988878278698845,7.250591682735045
-0.21916775052860882,-3.781392015398968,0.8522827437121094,-4.309313163819509,1.8076435452530724,-4.505598367895453,2.6759493035710578,-4.597449719234664,3.492685811004278,-4.647357870875132,1.8076435452530724,-4.505598367895453,7.260594389473166
-0.229027851310428,-3.7796664578413113,0.8432209627727921,-4.313554081890178,1.8002010004769726,-4.512281381388226,2.6697679481286776,-4.605312115375008,3.4874377529443232,-4.655870571100836,1.8002010004769726,-4.512281381388226,7.2705970962112865
